id,group id,video path,annotation path,sceneType,fps,num frames,aesthetic score,motion score,timeOfDay,weather,crowdDensity
e6d91e1b-e366-5fa9-aef4-9769eb0bf631,1,videos/group_0001/e6d91e1b-e366-5fa9-aef4-9769eb0bf631.mp4,annotations/group_0001/e6d91e1b-e366-5fa9-aef4-9769eb0bf631,Urban;Street Scene,59.94006309148265,740,4.628144264221191,4.636352423751687,Daytime,Cloudy,Sparse
019505db-8be0-5ca8-ba41-e19e33e8ca46,1,videos/group_0001/019505db-8be0-5ca8-ba41-e19e33e8ca46.mp4,annotations/group_0001/019505db-8be0-5ca8-ba41-e19e33e8ca46,Natural Landscape;Hillside Path,25.0,374,4.479338645935059,5.1948218693333335,Daytime,Sunny,Deserted
ba70d6d4-3122-5fc8-bdf5-45513dc5a28f,1,videos/group_0001/ba70d6d4-3122-5fc8-bdf5-45513dc5a28f.mp4,annotations/group_0001/ba70d6d4-3122-5fc8-bdf5-45513dc5a28f,Waterfront;Pier,59.94005994005994,459,4.718583106994629,4.138853065217392,Daytime,Sunny,Moderate
47741515-02c1-50af-93e7-eb20eb104f5a,1,videos/group_0001/47741515-02c1-50af-93e7-eb20eb104f5a.mp4,annotations/group_0001/47741515-02c1-50af-93e7-eb20eb104f5a,Natural Landscape;Desert Formation,29.97002997002997,105,4.895633697509766,5.399875018867925,Daytime,Sunny,Deserted
a40b2886-4c30-542c-bb32-f650d3d0a09d,1,videos/group_0001/a40b2886-4c30-542c-bb32-f650d3d0a09d.mp4,annotations/group_0001/a40b2886-4c30-542c-bb32-f650d3d0a09d,Urban;Street Scene,30.0,96,4.555792808532715,8.667681886597938,Night,Unknown,Crowded
39166fe8-afa9-5d4a-9173-fc2d0ae00d46,1,videos/group_0001/39166fe8-afa9-5d4a-9173-fc2d0ae00d46.mp4,annotations/group_0001/39166fe8-afa9-5d4a-9173-fc2d0ae00d46,Urban;Street Scene,60.0,900,4.493309020996094,4.321016324084351,Morning,Cloudy,Moderate
24534e6d-93e1-5fd9-b812-b88bfb3c446a,1,videos/group_0001/24534e6d-93e1-5fd9-b812-b88bfb3c446a.mp4,annotations/group_0001/24534e6d-93e1-5fd9-b812-b88bfb3c446a,Rural;Tibetan Village,60.0,369,4.606778144836426,3.622524035135135,Unknown,Cloudy,Deserted
cf3f42e3-6a4e-5796-8f83-2cbdd9b713a2,1,videos/group_0001/cf3f42e3-6a4e-5796-8f83-2cbdd9b713a2.mp4,annotations/group_0001/cf3f42e3-6a4e-5796-8f83-2cbdd9b713a2,Urban;Street Scene,60.0,234,4.572898387908936,4.468740723404255,Night,Unknown,Crowded
ca0f2a40-b419-5794-9a10-73ed8277f99d,1,videos/group_0001/ca0f2a40-b419-5794-9a10-73ed8277f99d.mp4,annotations/group_0001/ca0f2a40-b419-5794-9a10-73ed8277f99d,Waterfront;Beach and Bay,30.0,450,4.972659111022949,5.2853613569844775,Daytime,Sunny,Sparse
c93dd173-51dd-54f9-bead-b835a485db24,1,videos/group_0001/c93dd173-51dd-54f9-bead-b835a485db24.mp4,annotations/group_0001/c93dd173-51dd-54f9-bead-b835a485db24,Natural Landscape;Scenic Train Journey,59.94006309148265,899,4.5848917961120605,5.091554557777777,Dawn,Sunny,Unknown
4368d7ab-9bb3-557d-88bf-45ae97941829,1,videos/group_0001/4368d7ab-9bb3-557d-88bf-45ae97941829.mp4,annotations/group_0001/4368d7ab-9bb3-557d-88bf-45ae97941829,Interior;Decorative Wall Display,23.976023976023978,169,4.446758270263672,3.968882294117646,Daytime,Sunny,Deserted
ac6f8af5-695d-5244-8c27-4118ad67decc,1,videos/group_0001/ac6f8af5-695d-5244-8c27-4118ad67decc.mp4,annotations/group_0001/ac6f8af5-695d-5244-8c27-4118ad67decc,Urban;Street Scene,59.94005994005994,899,4.983304977416992,4.823356354444445,Daytime,Sunny,Deserted
39f05f95-a1bb-5af2-871d-e455c791e50b,1,videos/group_0001/39f05f95-a1bb-5af2-871d-e455c791e50b.mp4,annotations/group_0001/39f05f95-a1bb-5af2-871d-e455c791e50b,Urban;Street Scene,59.94006309148265,899,4.687252521514893,3.797164253333334,Night,Snowy,Crowded
27705ff4-b40f-567f-bc0f-43e44c6dd8d3,1,videos/group_0001/27705ff4-b40f-567f-bc0f-43e44c6dd8d3.mp4,annotations/group_0001/27705ff4-b40f-567f-bc0f-43e44c6dd8d3,Natural Landscape;Snowy Mountain Road,59.94006309148265,899,4.959196090698242,5.988031744444443,Unknown,Snowy,Deserted
e88d080f-2b49-5ef0-bea9-19e007b3b92d,1,videos/group_0001/e88d080f-2b49-5ef0-bea9-19e007b3b92d.mp4,annotations/group_0001/e88d080f-2b49-5ef0-bea9-19e007b3b92d,Urban;Street Scene,60.0,900,4.914133071899414,3.379934300776915,Night,Unknown,Sparse
48f1a79e-1414-5ce8-8123-7603d5826137,1,videos/group_0001/48f1a79e-1414-5ce8-8123-7603d5826137.mp4,annotations/group_0001/48f1a79e-1414-5ce8-8123-7603d5826137,Natural Landscape;Forest Path,59.94006309148265,900,4.61103105545044,4.37066671809101,Unknown,Cloudy,Sparse
b26f3720-804f-5026-858a-e8ad5f0a4adb,1,videos/group_0001/b26f3720-804f-5026-858a-e8ad5f0a4adb.mp4,annotations/group_0001/b26f3720-804f-5026-858a-e8ad5f0a4adb,Natural Landscape;Mountain Trail,59.94006309148265,900,4.620272159576416,4.303201847946726,Unknown,Cloudy,Deserted
864e5693-4a33-5b0c-81c3-9b5d0f6ad689,1,videos/group_0001/864e5693-4a33-5b0c-81c3-9b5d0f6ad689.mp4,annotations/group_0001/864e5693-4a33-5b0c-81c3-9b5d0f6ad689,Urban;Snowy Street Scene,60.0,900,4.827056407928467,3.471337774694784,Unknown,Snowy,Sparse
ee19f241-4a50-5b68-984f-1f0f7c156ab5,1,videos/group_0001/ee19f241-4a50-5b68-984f-1f0f7c156ab5.mp4,annotations/group_0001/ee19f241-4a50-5b68-984f-1f0f7c156ab5,Natural Landscape;Park,29.97002997002997,449,4.919632911682129,8.811399635555555,Daytime,Sunny,Deserted
57387151-6272-5489-82b9-5e98fa942544,1,videos/group_0001/57387151-6272-5489-82b9-5e98fa942544.mp4,annotations/group_0001/57387151-6272-5489-82b9-5e98fa942544,Natural Landscape;Tropical Beach,29.999999879603607,450,5.096222877502441,4.110900115299335,Daytime,Sunny,Deserted
f029e1d7-c51f-5ec3-bf76-51f7030b6de9,1,videos/group_0001/f029e1d7-c51f-5ec3-bf76-51f7030b6de9.mp4,annotations/group_0001/f029e1d7-c51f-5ec3-bf76-51f7030b6de9,Interior;Room with Doorway,23.976023976023978,79,4.44487190246582,3.0543870625000005,Unknown,Unknown,Deserted
d3d46967-fb33-5906-8576-0530cab0ad52,1,videos/group_0001/d3d46967-fb33-5906-8576-0530cab0ad52.mp4,annotations/group_0001/d3d46967-fb33-5906-8576-0530cab0ad52,Natural Landscape;Desert Landscape,29.97002997002997,204,4.850908279418945,6.233848707317073,Daytime,Sunny,Deserted
0954a6d3-382e-5585-9ebd-00e6786877b0,1,videos/group_0001/0954a6d3-382e-5585-9ebd-00e6786877b0.mp4,annotations/group_0001/0954a6d3-382e-5585-9ebd-00e6786877b0,Natural Landscape;Mountain Valley,60.0,900,4.747563362121582,4.538975538290788,Daytime (Midday/Noon/Afternoon),Cloudy,Deserted
a59139d0-7fe8-562e-a529-b3ebc80123a3,1,videos/group_0001/a59139d0-7fe8-562e-a529-b3ebc80123a3.mp4,annotations/group_0001/a59139d0-7fe8-562e-a529-b3ebc80123a3,Urban;City Street,29.97002997002997,175,4.537679195404053,4.1583768693181815,Night,Rainy,Deserted
4fc2a38c-2b8c-5b77-9b7c-2ffa3643af74,1,videos/group_0001/4fc2a38c-2b8c-5b77-9b7c-2ffa3643af74.mp4,annotations/group_0001/4fc2a38c-2b8c-5b77-9b7c-2ffa3643af74,Urban;Street Scene,29.97002997002997,300,4.6627197265625,4.928579139534883,Night,Rainy,Deserted
38fc23dd-74b3-56f7-a2ba-b5b137d28d90,1,videos/group_0001/38fc23dd-74b3-56f7-a2ba-b5b137d28d90.mp4,annotations/group_0001/38fc23dd-74b3-56f7-a2ba-b5b137d28d90,Rural;Park,60.0,150,4.609123706817627,7.713106317880794,Daytime (Midday/Noon/Afternoon),Cloudy,Sparse
41af8295-d5c4-5c30-8d61-e59be1b03033,1,videos/group_0001/41af8295-d5c4-5c30-8d61-e59be1b03033.mp4,annotations/group_0001/41af8295-d5c4-5c30-8d61-e59be1b03033,Natural Landscape;Forest Railway,50.0,750,4.780566692352295,7.9747366884154465,Unknown,Cloudy,Deserted
367cda01-c05c-5ac1-a2f0-32ebeef515d8,1,videos/group_0001/367cda01-c05c-5ac1-a2f0-32ebeef515d8.mp4,annotations/group_0001/367cda01-c05c-5ac1-a2f0-32ebeef515d8,Rural;Residential Homestead,60.0,462,4.906869888305664,6.93298214686825,Daytime,Sunny,Deserted
d86e9b2b-9fbf-5c4b-8720-6c7cc3f4c736,1,videos/group_0001/d86e9b2b-9fbf-5c4b-8720-6c7cc3f4c736.mp4,annotations/group_0001/d86e9b2b-9fbf-5c4b-8720-6c7cc3f4c736,Urban;Nighttime Street Scene,59.94006309148265,234,4.938685417175293,8.616905306382979,Night,Unknown,Crowded
b38fea15-be8c-50f6-ac4a-a1eb0b0942cf,1,videos/group_0001/b38fea15-be8c-50f6-ac4a-a1eb0b0942cf.mp4,annotations/group_0001/b38fea15-be8c-50f6-ac4a-a1eb0b0942cf,Urban;Street Scene,59.94006309148265,543,4.433087348937988,5.424153213235294,Daytime (Midday/Noon/Afternoon),Cloudy,Sparse
af0cb331-6fd8-5f2d-a129-d0b6e8ac8c4c,1,videos/group_0001/af0cb331-6fd8-5f2d-a129-d0b6e8ac8c4c.mp4,annotations/group_0001/af0cb331-6fd8-5f2d-a129-d0b6e8ac8c4c,Rural;Mountain Village Street,60.0,900,4.402712821960449,3.657492834628192,Daytime,Sunny,Moderate
6423ad26-42f3-58bb-8440-098bc87103ce,1,videos/group_0001/6423ad26-42f3-58bb-8440-098bc87103ce.mp4,annotations/group_0001/6423ad26-42f3-58bb-8440-098bc87103ce,Interior;Dining Room,30.0,84,4.645626068115234,6.512183976470587,Daytime,Sunny,Deserted
4f11705d-afdd-573d-a115-2219e61767c6,1,videos/group_0001/4f11705d-afdd-573d-a115-2219e61767c6.mp4,annotations/group_0001/4f11705d-afdd-573d-a115-2219e61767c6,Interior;Bathroom,29.97002997002997,84,4.8541998863220215,3.526695211764706,Unknown,Unknown,Unknown
